X,Y,OBJECTID,Count_,Int_Number,Location,Dist
771099.088020816,2937614.92388435,1,386,3121,Columbia Rd. & Wyola Place,DO
770993.948280409,2951341.40890604,2,388,319,Columbus Ave. & Dartmouth St.,BP
764810.1907828,2941731.78957801,3,389,507,Columbus Ave. & Dimock St.,RX
769227.260600597,2949409.65839796,4,390,95,Columbus Ave. & Massachusetts Ave.,BP
767630.862961859,2947879.91978635,5,391,2085,Columbus Ave. & Melnea Cass Blvd.,RX
770655.881088406,2950971.90325955,6,393,577,Columbus Ave. & West Canton St.,BP
770109.838661373,2950370.20326555,7,394,320,Columbus Ave. & West Newton St.,BP
776891.949220732,2956963.91010812,8,400,290,Commercial St. & Cross St.,BP
776687.324176505,2959351.41070528,9,401,328,Commercial St. & Foster St.,BP
777094.511330038,2959149.90802218,10,402,424,Commercial St. & Hanover St.,BP
762925.696419746,2952718.15678224,11,403,1283,Commonwealth Ave. & Cummington St.,BP
756698.781173795,2953035.73729362,12,404,845,Commonwealth Ave. & Fordham St.,AB
763315.384362683,2952732.40873905,13,405,457,Commonwealth Ave. & Granby St.,BP
755085.072493732,2952281.90499222,14,406,459,Commonwealth Ave. & Griggs St.,AB
755947.446570128,2952837.44306082,15,407,181,Commonwealth Ave. & Harvard Ave.,AB
765652.572404817,2952392.65681282,16,408,3087,Commonwealth Ave. & Kenmore St.,BP
751143.194542885,2949780.90773204,17,409,1190,Commonwealth Ave. & Leamington Rd.,AB
767397.822527558,2952432.40877235,18,410,90,Commonwealth Ave. & Massachusetts Ave.,BP
748669.194124058,2949011.90739314,19,412,1208,Commonwealth Ave. & South St.,AB
755375.132979751,2952641.55658334,20,413,880,Commonwealth Ave. & Spofford St.,AB
762516.893679157,2952782.65697898,21,414,177,Commonwealth Ave. & St. Mary's St.,BP
752764.257531613,2950450.90789127,22,416,180,Commonwealth Ave. & Washington St.,AB
780633.887051597,2964788.91184331,23,434,431,Condor St. & Meridian St.,EB
776262.886783436,2954935.90981509,24,437,362,Congress St. & Franklin St.,BP
775736.785950989,2957095.30254537,25,438,4035,Congress St. & Hanover St.,BP
776544.636942878,2954579.40948556,26,439,47,Congress St. & High St.,BP
776090.074088395,2955364.90968935,27,440,1520,Congress St. & Milk St.,BP
776684.993004844,2954402.15588316,28,441,3055,Congress St. & Purchase St.,BP
775952.323982492,2956112.15997376,29,442,52,Congress St. & State St.,BP
754670.632657841,2951411.6581912,30,450,641,Corey Rd. & Kelton St.,AB
753957.819998473,2950640.90791869,31,451,640,Corey Rd. & Summit Ave.,AB
753375.945608154,2950007.15585184,32,452,639,Corey Rd. & Washington St.,AB
754797.133630499,2927108.15357944,33,454,632,Cornell St. & Washington St.,WR
776253.511708409,2957484.41012822,34,458,4096,Cross St. & Hanover St.,BP
759293.460794479,2927271.42838012,35,463,250,Cummins Hwy. & Hyde Park Ave.,WR
757609.196721241,2928914.15402429,36,464,2262,Cummins Hwy. & Sycamore St.,WR
756790.571535572,2929631.65401004,37,465,252,Cummins Hwy. & Washington St.,WR
764892.323169976,2923766.65342149,38,466,1367,Cummins Hwy. & Woodhaven St.,DO
778399.880154297,2949737.18011762,39,473,4085,Cypher & D St.,SB
775942.074332848,2946920.90821847,40,474,1128,D St. & Dorchester Ave.,SB
779935.417337775,2951521.9226819,41,479,374,D St. & Summer St.,SB
777604.262203053,2948813.15846625,42,480,373,D St. & West Broadway,SB
778201.512410179,2949506.90887395,43,481,1484,D St. & West First St.,SB
776786.762075067,2947875.15849224,44,482,540,D St. & West Seventh St.,SB
777847.512080938,2949097.90861638,45,483,786,D St. & West Third St.,SB
773514.886903897,2934765.40582913,46,486,2355,Dakota St. & Geneva Ave.,DO
770041.385606766,2953893.65917844,47,488,750,Dartmouth St. & Marlborough St.,BP
770309.885803074,2953179.15916759,48,489,824,Dartmouth St. & Newbury St.,BP
770675.498692751,2952239.7284646,49,490,110,Dartmouth St. & Stuart St.,BP
771204.073248625,2950781.90861285,50,491,663,Dartmouth St. & Warren Ave.,BP
776993.699754998,2946156.40799822,51,523,173,Dorchester St. & Old Colony Ave.,SB
778432.324738577,2947238.15839095,52,524,949,Dorchester St. & West Fifth St.,SB
771894.761065125,2948303.4081976,53,550,547,East Newton St. & Harrison Ave.,BP
750838.882155344,2948274.15749262,54,556,800,Englewood Ave. & Sutherland St.,AB
775868.511559397,2953638.40952207,55,563,377,Essex St. & South St.,BP
776131.511719227,2954208.6594848,56,580,48,Federal St. & High St.,BP
762791.03118968,2946920.07080376,57,583,1944,Fenwood Rd. & Huntington Ave.,RX
763694.134982616,2937835.65612634,58,586,1531,Forest Hills St. & Glen Rd.,WR
763358.480159849,2935798.05280176,59,587,2047,Forest Hills St. & Williams St.,WR
772186.134954348,2928091.40324733,60,603,510,Fuller St. & Washington St.,DO
768316.760140121,2953258.40895243,61,611,865,Gloucester St. & Marlborough St.,BP
745213.569358647,2924645.65276644,62,612,714,Gould St. & Spring St.  / V.A. Hospital,WR
774694.011406407,2953103.40913464,63,626,367,Harrison Ave. & Kneeland St.,BP
773019.449603766,2949523.15756395,64,631,689,Harrison Ave. & Waltham St.,BP
768915.260673925,2944826.65748639,65,632,784,Harrison Ave. & Warren St.,RX
776928.638198256,2955093.65824158,66,642,566,High St. & Oliver St.,BP
776710.32429938,2954796.65975492,67,643,1197,High St. & Pearl St.,BP
777554.847662672,2955424.59720016,68,644,7004,High St. & Purchase St.,BP
775914.199125096,2954071.90939614,69,645,60,High St. & Summer St.,BP
768122.698248863,2941555.40681046,70,646,1561,Humboldt Ave. & Martin Luther King Jr. Blvd.,RX
767992.635517836,2940837.65679112,71,647,556,Humboldt Ave. & Townsend St.,RX
768122.57847631,2942170.29152553,72,648,572,Humboldt Ave. & Walnut Ave.,RX
767510.885437161,2939942.9064229,73,649,947,Humboldt Ave. & Waumbeck St.,RX
767773.010603338,2940384.4066184,74,650,1723,Humboldt Ave. & Wyoming St.,RX
758440.947156399,2920588.40237381,75,668,871,Hyde Park Ave. & West St.,HP
768906.26069732,2944629.4075146,76,674,1969,Kearsarge Ave. & Warren St. @ The Boy's Club,RX
766680.822681025,2947744.90803523,77,681,1526,Leon St. & Ruggles St.,RX
773566.511188179,2952022.15908034,78,695,1328,Marginal Rd. & Shawmut Ave.,BP
767501.697677985,2952149.15896016,79,704,91,Massachusetts Ave. & Newbury St.,BP
768599.296820611,2949984.89191532,80,706,134,Massachusetts Ave. & St. Botolph St.,BP
757473.070767343,2925790.40277706,81,730,517,Metropolitan Ave. & Poplar St.,WR
760199.197272688,2920162.15255134,82,731,1104,Metropolitan Ave. & River St.,HP
755335.265835017,2927785.63268889,83,732,582,Metropolitan Ave. & Washington St.,WR
776244.824135438,2955397.90963528,84,733,327,Milk St. & Pearl St.,BP
775431.573964983,2955423.65988745,85,735,23,Milk St. & Washington St.,BP
751791.194626704,2951350.658198,86,736,512,Monastery St. & Washington St.,AB
779267.82540305,2941503.15730676,87,742,2336,Mt. Vernon St. @ Harbor Point Blvd.,SB
776696.536646187,2933182.96253487,88,744,469,Neponset Ave. & Victory Rd.,DO
774477.347528651,2957318.31052399,89,746,4091,New Chardon St. @ Bulfinch Pl.,BP
769702.948783726,2929335.90468097,90,751,959,Norfolk St. & Stanton St.,DO
770383.44883202,2930259.90467542,91,752,1065,Norfolk St. & Woodrow Ave.,DO
756221.14601019,2957593.65522845,92,756,188,North Harvard St. & Western Ave.,AB
770069.010766491,2948080.15820737,93,761,785,Northampton St. & Shawmut Ave.,BP
775163.905386776,2939987.08968966,94,777,230,Pleasant St. & Stoughton St.,DO
766385.658591315,2946605.0179792,95,781,4023,Prentiss St. & Tremont St.,RX
754811.009692788,2930328.15388273,96,795,771,Robert St. & South St.,WR
749744.951700464,2921374.2562841,97,796,1003,Rockingham Ave. & Washington St.  @ Engine #55,WR
748205.420757145,2919561.51278695,98,797,2335,Rockland St. & Washington St.,WR
768643.887752131,2946298.65547144,99,799,202,Ruggles St. & Shawmut Ave.,RX
790445.950959221,2965830.16097192,100,801,980,Saratoga St. & St. Edward Rd.,EB
778209.953622162,2954046.16422968,101,805,3109,Seaport Blvd. & Sleeper St.,SB
771491.19909288,2949360.40769371,102,806,647,Shawmut Ave. & West Brookline St.,BP
771189.511000037,2949087.90839423,103,807,545,Shawmut Ave. & West Newton St.,BP
755150.883524612,2930511.90432826,104,811,770,South St. & Walter St.,WR
756980.770329878,2929873.72542965,105,812,2165,South St. & Washington St. @ Forest Hills MBTA Station Busway Exit (Monitor #253),WR
763964.072058097,2946613.90768564,106,816,138,St. Alphonsus St. & Tremont St.,RX
750989.194534913,2948624.40752095,107,818,392,Strathmore Rd. & Sutherland Rd.,AB
777950.637097627,2952555.90925784,108,1,1251,A St. & Melcher St.,SB
777383.137012079,2956092.16006161,109,87,2006,Atlantic Ave. & Milk St.,BP
777256.824210688,2957137.91013478,110,89,1964,Atlantic Ave. & Richmond,BP
777312.699464217,2956403.91015159,111,90,2023,Atlantic Ave. & State St.,BP
776351.699325681,2953860.15946668,112,91,43,Atlantic Ave. & Summer St.,BP
758527.133484572,2953409.15865533,113,104,1263,Babcock St. & Commonwealth Ave.,BP
766165.975680113,2923719.04168101,114,105,849,Babson St. & Blue Hill Ave.,DO
766429.260925293,2926041.65362895,115,107,1648,Babson St. & Norfolk St.,DO
746297.293305188,2926204.95051391,116,108,817,Baker St. & Gardner St.,WR
746246.007085919,2925705.40285601,117,109,727,Baker St. & Spring St.,WR
759485.19661811,2937790.15576109,118,111,1786,Ballard St. & Centre St.,WR
772036.573560908,2954952.40963273,119,117,4080,Beacon St. & Brimmer St.,BP
